PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,group_num,ppl_num,max_num,ticket_Earth55 Cancri e,ticket_EarthPSO J318.5-22,ticket_EarthTRAPPIST-1e,ticket_Europa55 Cancri e,ticket_EuropaPSO J318.5-22,ticket_EuropaTRAPPIST-1e,ticket_Mars55 Cancri e,ticket_MarsPSO J318.5-22,ticket_MarsTRAPPIST-1e,cabin_row,expense,sum_expense,cabin_class_A,cabin_class_B,cabin_class_C,cabin_class_D,cabin_class_E,cabin_class_F,cabin_class_G,cabin_class_T,cabin_side_P,cabin_side_S
0001_01,Europa,False,B/0/P,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,0001,01,1,False,False,False,False,False,True,False,False,False,0,0.0,0.0,False,True,False,False,False,False,False,False,True,False
0002_01,Earth,False,F/0/S,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,Juanna Vines,True,0002,01,1,False,False,True,False,False,False,False,False,False,0,736.0,736.0,False,False,False,False,False,True,False,False,False,True
0003_01,Europa,False,A/0/S,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False,0003,01,2,False,False,False,False,False,True,False,False,False,0,10383.0,10383.0,True,False,False,False,False,False,False,False,False,True
0003_02,Europa,False,A/0/S,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False,0003,02,2,False,False,False,False,False,True,False,False,False,0,5176.0,5176.0,True,False,False,False,False,False,False,False,False,True
0004_01,Earth,False,F/1/S,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,Willy Santantines,True,0004,01,1,False,False,True,False,False,False,False,False,False,1,1091.0,1091.0,False,False,False,False,False,True,False,False,False,True
0005_01,Earth,False,F/0/P,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,True,0005,01,1,False,True,False,False,False,False,False,False,False,0,774.0,774.0,False,False,False,False,False,True,False,False,True,False
0006_01,Earth,False,F/2/S,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,True,0006,01,2,False,False,True,False,False,False,False,False,False,2,1584.0,1584.0,False,False,False,False,False,True,False,False,False,True
0006_02,Earth,True,G/0/S,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True,0006,02,2,False,False,True,False,False,False,False,False,False,0,0.0,0.0,False,False,False,False,False,False,True,False,False,True
0007_01,Earth,False,F/3/S,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,Andona Beston,True,0007,01,1,False,False,True,False,False,False,False,False,False,3,1018.0,1018.0,False,False,False,False,False,True,False,False,False,True
0008_01,Europa,True,B/1/P,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,0008,01,3,False,False,False,True,False,False,False,False,False,1,0.0,0.0,False,True,False,False,False,False,False,False,True,False
0008_02,Europa,True,B/1/P,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,True,0008,02,3,False,False,False,False,False,True,False,False,False,1,0.0,0.0,False,True,False,False,False,False,False,False,True,False
0008_03,Europa,False,B/1/P,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,True,0008,03,3,False,False,False,True,False,False,False,False,False,1,8157.0,8157.0,False,True,False,False,False,False,False,False,True,False
